customerID,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn_Yes,tenure_bucket,charge_bucket,contract_type,segment_rule,kmeans_cluster
9305-CDSKC,0,8,99.65,820.5,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
9420-LOJKX,0,15,99.1,1426.4,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
1658-BYGOY,1,18,95.45,1752.55,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
0434-CSFON,0,47,100.5,4707.1,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
1215-FIGMP,0,60,89.9,5450.7,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5698-BQJOH,0,9,94.4,857.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
9919-YLNNG,0,42,103.8,4327.5,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
4445-ZJNMU,0,9,99.3,918.75,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
6067-NGCEU,0,65,111.05,7107.0,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
4598-XLKNJ,1,25,98.5,2514.5,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
7123-WQUHX,0,38,95.0,3605.6,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,Loyal (>36),High,One year,Loyal (>36) | High | One year,4
0486-HECZI,0,55,96.75,5238.9,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5712-AHQNN,0,43,91.65,3954.1,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
3071-VBYPO,0,3,89.85,248.4,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
5299-RULOA,0,10,100.25,1064.65,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
3874-EQOEP,0,7,95.0,655.5,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
1875-QIVME,0,2,104.4,242.8,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
5947-SGKCL,0,15,105.35,1559.25,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
2472-OVKUP,0,6,91.0,531.0,True,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
2604-IJPDU,0,20,96.55,1901.65,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
6168-YBYNP,0,59,111.35,6519.75,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
9323-HGFWY,0,27,101.9,2681.15,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
7825-ECJRF,0,19,106.6,1934.45,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
4811-JBUVU,0,30,89.9,2723.15,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
3316-UWXUY,0,50,93.5,4747.5,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
0094-OIFMO,1,11,95.0,1120.3,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
9058-HRZSV,1,65,94.4,6126.15,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
3606-TWKGI,1,13,106.9,1364.3,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
7529-ZDFXI,1,57,89.85,4925.35,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
3197-ARFOY,1,19,105.0,2007.25,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
4385-GZQXV,1,16,94.45,1511.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
4716-HHKQH,1,20,107.05,2172.05,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
4484-GLZOU,0,52,105.05,5624.85,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
9512-UIBFX,0,18,95.15,1779.95,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
6851-WEFYX,1,35,100.8,3437.5,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
8098-LLAZX,1,4,95.45,396.1,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
8266-VBFQL,0,4,90.4,356.65,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
3167-SNQPL,1,38,101.15,3741.85,True,True,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
2840-XANRC,1,24,93.15,2231.05,True,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
6745-JEFZB,0,35,91.5,3236.35,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
4983-CLMLV,0,52,102.7,5138.1,False,True,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
7982-VCELR,0,36,94.8,3565.65,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
1343-EHPYB,0,63,103.4,6603.0,True,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
2034-GDRCN,0,2,90.4,168.2,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
9833-TGFHX,0,42,97.1,4016.75,True,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,False,Loyal (>36),High,One year,Loyal (>36) | High | One year,1
5229-DTFYB,0,41,98.8,3959.15,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,Loyal (>36),High,Two year,Loyal (>36) | High | Two year,4
1010-DIAUQ,0,5,96.5,492.55,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
6862-CQUMB,0,37,96.1,3646.8,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,4
9601-BRXPO,0,25,104.95,2566.5,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
5167-ZFFMM,0,1,90.85,90.85,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
0533-BNWKF,1,55,85.45,4874.7,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
8782-LKFPK,0,44,90.4,4063.0,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
3597-MVHJT,0,27,95.6,2595.25,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
3951-NJCVI,1,42,95.05,3944.5,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
0177-PXBAT,1,33,109.9,3694.7,True,True,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
0979-PHULV,0,69,99.45,7007.6,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
0111-KLBQG,1,32,93.95,2861.45,True,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
5973-EJGDP,0,51,87.35,4473.0,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
7663-ZTEGJ,0,29,100.55,2830.45,True,False,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
5886-VLQVU,0,35,89.85,3161.2,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
0771-WLCLA,0,16,112.95,1882.55,False,True,True,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
5628-RKIFK,1,49,101.55,5070.4,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
7752-XUSCI,0,60,105.9,6396.45,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5168-MSWXT,0,8,94.75,759.55,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
8313-NDOIA,0,24,104.15,2494.65,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
5149-CUZUJ,0,28,92.9,2768.35,True,True,True,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
0880-TKATG,0,4,101.15,385.9,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
3811-VBYBZ,0,7,99.8,673.25,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
0306-JAELE,0,5,96.1,453.4,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
9094-AZPHK,0,15,100.15,1415.0,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
7783-YKGDV,0,12,99.7,1238.45,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
4374-YMUSQ,0,34,114.71682,3899.05,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
7803-XOCCZ,0,52,84.05,4326.8,False,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5609-CEBID,1,20,94.1,1782.4,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
7218-HKQFK,0,2,94.2,167.5,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
4332-MUOEZ,1,20,94.3,1818.3,True,True,True,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
8535-SFUTN,0,61,106.45,6300.15,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
8677-HDZEE,0,56,105.45,5916.95,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
2475-MROZF,0,30,95.0,2852.4,True,False,False,True,False,True,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
9412-GHEEC,0,40,104.8,4131.95,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
0913-XWSCN,0,55,85.5,4713.4,True,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
8397-MVTAZ,0,34,100.05,3480.0,True,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
6967-QIQRV,0,15,101.9,1667.25,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,1
0939-YAPAF,0,35,100.25,3527.6,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
6030-REHUX,1,28,110.85,3204.4,False,True,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
5150-LJNSR,0,31,98.05,3082.1,True,True,True,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
6522-YRBXD,1,35,94.55,3365.4,True,True,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
2731-GJRDG,0,32,109.55,3608.0,False,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,True,False,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
3419-SNJJD,1,65,105.25,6786.4,False,True,False,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5240-CAOYT,0,57,87.55,4884.85,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
3003-CMDUU,0,25,95.15,2395.7,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
4554-YGZIH,1,49,90.05,4547.25,True,True,False,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5099-BAILX,1,43,110.75,4687.9,True,True,True,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
7207-RMRDB,0,65,105.5,6985.65,False,True,True,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
7954-MLBUN,0,31,99.45,3109.9,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,Established (13-36),High,Two year,Established (13-36) | High | Two year,4
1626-ERCMM,1,20,94.55,1899.65,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
5183-SNMJQ,0,10,95.1,865.1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,True,False,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
5760-IFJOZ,0,3,107.95,313.6,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,4
5076-YVXCM,0,51,83.4,4149.45,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
8329-UTMVM,1,27,104.65,2964.0,True,False,False,True,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,True,False,True,False,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
5575-TPIZQ,0,46,89.15,4245.55,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,2
5244-IRFIH,1,33,94.5,3105.55,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
2684-EIWEO,1,30,91.7,2758.15,False,False,False,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
6439-GTPCA,0,45,87.25,3941.7,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,True,Loyal (>36),High,Month-to-month,Loyal (>36) | High | Month-to-month,1
1173-NOEYG,0,27,90.15,2423.4,False,True,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,4
6647-ZEDXT,0,30,110.45,3327.05,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,False,False,Established (13-36),High,One year,Established (13-36) | High | One year,4
5138-WVKYJ,0,10,98.55,1008.55,True,False,False,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
0139-IVFJG,0,2,90.35,190.5,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,New (<=12),High,Month-to-month,New (<=12) | High | Month-to-month,1
6683-VLCTZ,1,20,98.55,1842.8,True,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,Established (13-36),High,Month-to-month,Established (13-36) | High | Month-to-month,1
